ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",765,"Long Beach, CA","16000US0643000","long-beach-ca",3599,0.007675688817892737
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",103,"Long Beach, CA","16000US0643000","long-beach-ca",183,0.0003902892619267493
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",353,"Long Beach, CA","16000US0643000","long-beach-ca",981,0.0020922063713122462
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",2874,"Long Beach, CA","16000US0643000","long-beach-ca",72216,0.15401710021476572
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",992.3386518724341,"Long Beach, CA","16000US0643000","long-beach-ca",12861,0.027429017473442202
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",890.9163821594034,"Long Beach, CA","16000US0643000","long-beach-ca",8953,0.019094315639509217
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",2054,"Long Beach, CA","16000US0643000","long-beach-ca",129957,0.2762168722329321
0,"White Alone",1,"Hispanic or Latino",2017,"2017",3706,"Long Beach, CA","16000US0643000","long-beach-ca",116917,0.2485010276542066
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",2244,"Long Beach, CA","16000US0643000","long-beach-ca",58260,0.12382861235863113
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",657,"Long Beach, CA","16000US0643000","long-beach-ca",2524,0.005364631266618348
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",393,"Long Beach, CA","16000US0643000","long-beach-ca",1534,0.0032604375447672527
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",901,"Long Beach, CA","16000US0643000","long-beach-ca",4155,0.008831237287162931
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",1997.9999999999998,"Long Beach, CA","16000US0643000","long-beach-ca",61269,0.13022408600413612
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",295,"Long Beach, CA","16000US0643000","long-beach-ca",962,0.0020446811721421755
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",958,"Long Beach, CA","16000US0643000","long-beach-ca",4050,0.008608065225754481
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",162,"Long Beach, CA","16000US0643000","long-beach-ca",234,0.0004973548797102589
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",246.00000000000003,"Long Beach, CA","16000US0643000","long-beach-ca",836,0.0017768746984520361
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",3641,"Long Beach, CA","16000US0643000","long-beach-ca",67884,0.14428392587286845
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",1053.8026380684385,"Long Beach, CA","16000US0643000","long-beach-ca",13060,0.02775835354280334
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",887.8473967974451,"Long Beach, CA","16000US0643000","long-beach-ca",8847,0.01880384025981479
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",2315,"Long Beach, CA","16000US0643000","long-beach-ca",130196,0.27713482320937094
0,"White Alone",1,"Hispanic or Latino",2016,"2016",3757.9999999999995,"Long Beach, CA","16000US0643000","long-beach-ca",119366,0.25408211701749495
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",2217,"Long Beach, CA","16000US0643000","long-beach-ca",58926,0.1254297105320854
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",627,"Long Beach, CA","16000US0643000","long-beach-ca",2328,0.004955373962575007
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",363,"Long Beach, CA","16000US0643000","long-beach-ca",1559,0.0033184828211574036
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",874.0000000000001,"Long Beach, CA","16000US0643000","long-beach-ca",4051,0.00862294670205814
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",2118,"Long Beach, CA","16000US0643000","long-beach-ca",60123,0.12797764121645064
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",349,"Long Beach, CA","16000US0643000","long-beach-ca",1161,0.002471301190098618
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",825,"Long Beach, CA","16000US0643000","long-beach-ca",4146,0.008825163423039508
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",122,"Long Beach, CA","16000US0643000","long-beach-ca",254,0.0005406636539922903
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",244,"Long Beach, CA","16000US0643000","long-beach-ca",888,0.001890194191910054
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",2979,"Long Beach, CA","16000US0643000","long-beach-ca",60997,0.12983803504947924
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",995.6003214141707,"Long Beach, CA","16000US0643000","long-beach-ca",14672,0.031230776107775127
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",1185.077634587709,"Long Beach, CA","16000US0643000","long-beach-ca",11126,0.02368277092251268
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",2230,"Long Beach, CA","16000US0643000","long-beach-ca",132243,0.2812262752611981
0,"White Alone",1,"Hispanic or Latino",2015,"2015",3493,"Long Beach, CA","16000US0643000","long-beach-ca",118779,0.25259390477567695
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",2119,"Long Beach, CA","16000US0643000","long-beach-ca",58759,0.12495613913834938
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",522,"Long Beach, CA","16000US0643000","long-beach-ca",1859,0.003953325663442052
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",365,"Long Beach, CA","16000US0643000","long-beach-ca",1421,0.003021880456025366
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",812,"Long Beach, CA","16000US0643000","long-beach-ca",4073,0.00866158979408256
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",2190,"Long Beach, CA","16000US0643000","long-beach-ca",59893,0.12736768905892135
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",299,"Long Beach, CA","16000US0643000","long-beach-ca",965,0.0020521566784408715
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",1100,"Long Beach, CA","16000US0643000","long-beach-ca",4319,0.009184730253042615
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",192,"Long Beach, CA","16000US0643000","long-beach-ca",299,0.0006358495822319384
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",296,"Long Beach, CA","16000US0643000","long-beach-ca",1113,0.0023668915887095233
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",2986,"Long Beach, CA","16000US0643000","long-beach-ca",58902,0.1252602411124603
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",1373.5188386039706,"Long Beach, CA","16000US0643000","long-beach-ca",14922,0.03173293466911366
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",1282.0471910191138,"Long Beach, CA","16000US0643000","long-beach-ca",12690,0.026986391968305344
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",2222,"Long Beach, CA","16000US0643000","long-beach-ca",131481,0.28058617908039796
0,"White Alone",1,"Hispanic or Latino",2014,"2014",3352,"Long Beach, CA","16000US0643000","long-beach-ca",119815,0.2556904271074747
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",2245,"Long Beach, CA","16000US0643000","long-beach-ca",59067,0.1260515499558253
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",619,"Long Beach, CA","16000US0643000","long-beach-ca",1704,0.003636410197313666
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",350,"Long Beach, CA","16000US0643000","long-beach-ca",1247,0.0026611522981514913
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",819,"Long Beach, CA","16000US0643000","long-beach-ca",3311,0.00706581817095396
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",2307,"Long Beach, CA","16000US0643000","long-beach-ca",60203,0.12847582342070107
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",298,"Long Beach, CA","16000US0643000","long-beach-ca",976,0.002082826497991865
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",1017.9999999999999,"Long Beach, CA","16000US0643000","long-beach-ca",4388,0.009364183066791295
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",223,"Long Beach, CA","16000US0643000","long-beach-ca",301,0.0006423471064503601
